,text,id,user name,screen name,description
35,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465286235561984,Diego Keenan,KiandraKeenan,Hand of God
36,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465285908406272,dinda layna hawe,DindaHawe,None
37,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465285878984704,iboy,cafingrialdy,"Melihat dengan objektif, dan mengutamakan fakta"
38,RT @Limitless0_o: Y'all have the same booty 😩😩 https://t.co/uK8Pe1p9T7,750465285686173696,.,intisarahmed_,None
39,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465286218723328,Indah kyi,indahalkatiri,"Perjuangan, cinta dan kamu yang entah dimana"
40,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465285916766208,Azin Adilla,danniazin,Tak ada manusia sempurna. Namun seseorang akan terlihat sempurna ketika kamu mencintainya dengan tulus. :)
41,"RT @FunniestVines: At first you felt sorry for the dog, but then 😭😂 https://t.co/7y8fnGsEMZ",750465285946241024,Heron09,Heron09,#Retiree #pro choice #BlueJays #LPC
42,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465286285910016,Kartika,KartikaLez,None
43,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465286449487872,munaroh,munaroh965,None
44,RT @omphramz: one of the coolest GirlGroup dance in Kpop history ---&gt; https://t.co/MOaDs6j4Ej,750465286302609412,jarwo kuat,jarwokuatbanget,None
45,@Statesman #StateBarofTexas never thought anyone would have the chutzpah to call THEM out...sucks for them.,750465289645531136,Allyson Scott,redliarbuster,"Author: Redheaded Rants. B.S. NSC, MA C&I  Formr blogger, currnt activist. Rd Watermark of the Beast for synopsis. DOX ascottfree@outlook.com  fairydust1"
46,@excited_shawn @ShadyShawnFact i think they have the same amount.,750465289267998721,Mari,lilmarimuffin98,Hi so I basically I love a guy named Shawn Mendes that's that.
47,RT @ruot_hooper24: The love be so fake💯,750465289263910912,Tasiaaaa ❣,Tasiaaaaaa_,living ... learning ... glowing ✨❤️
48,Got a toaster oven in the break room so I can finally bring pizza rolls 4 lunch,750465289679040512,ambie✨,ambieHeb,Slightly insane ramblings of an overworked young adult /// #feminist /// veggie queen /// St. Edward's University '16
49,"RT @KrisParonto: Good job setting the example of how to have no integrity, no guts, and no moral substance. #cowardly @JamesComeyFBI https:…",750465289762971648,721club,ksmitha1,None
50,RT @_zolarmoon: Privilege is Tom doing 60 in a 45 and being let off with a warning but Ray Ray doing 50 in that same 45 &amp; the dogs bein bro…,750465289729433600,'lani,naaayxx,17 †
51,@IndianaVox shame im over the other end of the world 💋💋💋. Id whisk u away for romantic getaway,750465289481883648,Paul Battershill,pbatts,None
52,I don't wanna go in the house yet  the day is still young 😭,750465289578487808,Keylowwitdakilos✨,Yooookeyy,Married to Ben Franklin ❤️
53,RT @Ayisha_Malik: OMG it's Eid and I'm about to eat everything under this good moon. Because that's what the past month has been about. #Ei…,750465289423323136,Brown Jesus,virtualassasins,"name looks better in arabic
ינאַאַם
⚽
big beard with a man
#FreePalestine #freeGaza"
54,RT @PenguinBooks: RT for chance to win @bbowen949's ENCHANTED AUGUST—the perfect novel for a day at the beach! https://t.co/XdxF3rCzJu http…,750465289536626688,freakdujour,freakdujour,None
55,The most romantic place and scene both for @aldenrichards02  &amp; @mainedcm  #ALDUBIYAMin7Days  https://t.co/ittSw1oVu4,750465289347747841,liriolimosinero-cruz,lirio914,Life is a gift...❤️
56,"@iKeen4n watch how KD won't give a fuck either way, not bring it up or wonder why, embrace the hate and not look back",750465289616101376,Cis Lord Problematic,dreadheadblu,"I find it problematic that hot dog buns come in packages of 8, but hot dogs come in packages of 10. that doesn't seem suspicious to you? #StayWoke"
57,RT @USFreedomArmy: Just a thumbnail sketch of the #HRC scandals. Join our patriot army at https://t.co/oSPeY3QMpH. Sign up with us now. htt…,750465289624571904,[Omitted],sonmanvb,None
58,Can we talk about Virgo for a sec because that's depressingly accurate  https://t.co/ImOg7AmGjs,750465289704255489,rach,ladysass__,"if you can't say something nice, say something clever but devastating"
59,just finished a Runtastic run of 5.2 mi in 54m 20s with the #Runtastic PRO app: https://t.co/YPzbmcrjZj,750465289423314944,Bryce Griffler,bgriffler,"Engineer, Cruises, Safety, Avgeek"
60,@Miguelosvaldo27 @alondramherrera where the fuck at you going,750465289599483904,•Georgia•,thegreekgirl97,don't talk about it be about it #dreamteam
61,RT @Love_Keyaira: y'all ever sent a message &amp; be scared to look at your phone for the response ? 😂,750465289704214528,Ashley Tagle,AJTXBABY,None
62,"RT @krONik: Morrison refuses to budge on unfreezing GP rebates or the LNPs other cuts. #SaveMedicare wasn't a ""scare"". 

#AUSpol https://t.…",750465289720958977,judywilkins,judyfree10,"BACompStudiesPoliticalEcomy/ Labor Leftish..STOP LNP/IPA mining fracking Support:Unionism,Refugees,Indig.Treaty Renewables.Equality.TAFE.Educ.  Joined Jan 2015"
63,RT @CarolPeter2: Comey should lose his job for dereliction of duty. Willful neglect to enforce the law will be his legacy.  https://t.co/rI…,750465289318522880,Valdemar Escamilla,valdemar58,"Global Service Development Engineer, Master Cadillac Technician, ASE Master Certify Technician, Red Wing Fan Detroit Tiger Fan, loves America, conservative"
64,"RT @BPalvinSource: July 1st: @BarbaraPalvin with a fan at the VOLT Festival in Sopron, Hungary. https://t.co/NhXbFvIfRa",750465289687445506,barabara,Tyrrexz,"Hungarian Model — there is peaceful, there is wild. i am both at the same time. (rp/fl) actorrx"
65,"The cons I'm going to this year so far are:
Modesto Con
San Diego Comic Con
Stockton Con
SacAnime",750465289989480448,Dillon,SixStringShot3r,"Founder,host,producer,video editor,content creator of Mob Gaming.Also a future college student."
66,RT @j0rdanbby: @___jamiyaaaa @__loveexniyaaa @treasurec13  https://t.co/yHnfFb2Wn0,750465289591087104,wildass☔️,__loveexniyaaa,RIP GrandMa☁️❤
67,"RT @tovangar2: Director Comey's, infuriating, lackadaisical @FBI statement. The Clintons will never be held accountable  https://t.co/WdZn2…",750465289897127936,Meg,mrbm06,"mom, wife, daughter, aunt, sister, but not a cousin. Cat owner, dog owner, teacher, political junkie. #neverhillary #bernieorbust #Trumpb4Hilary #Imagainsther"
68,"RT @WeTeachLifeSir_: ISIS just bombed a mosque in the 2nd holiest city in Islam during the holiest month in Islam. 

Don't ever say that IS…",750465289867841536,Chick McNugge,OliviaHoff_,You can't hold hands when they make fists. #UMN
69,Ho aggiunto un video a una playlist di @YouTube: https://t.co/DhHxYzzmyW The Him - Balance (feat. Oktavian),750465289939062785,Mike.,ogmikk,gt: pvcv
70,21 Days to a Better Blog: Take the Challenge! https://t.co/ohOqwfiGpO via @corinnekerston,750465289633030144,Steve Patterson,srpatterson,Software Development Specialist at Ohio Office of Budget And Management
71,Peep the highlight ✨🤗 https://t.co/jO9XccLFaC,750465288831852545,Lee-ánn,lianette21,@a_cesar02 ❣ | California honey ✨
72,Minutes from the beach  #Villapescadores https://t.co/TBWRbf9J42,750465290031378433,Costa Loreto,costaloreto,"Project Sales Representative
Loreto Office: (613) 135-1207
México Office: (726) 262-5702"
73,LIVE on #Periscope: stuck in the house ft my brother's room . @tythestoner https://t.co/owYRsaNcxE,750465289607716864,Ty the $toner,tythestoner,CASH RULES ERRYTHING AROUND ME
74,RT @WORLDSTAR: Bruh has the full MJ fit and he's playing defense hard as hell 😭😭 https://t.co/u3FR14C49U,750465289788100608,Thr3zus,chrisbreezy_24,916x408 est. 94' X.XVII
75,Let the bullshit begin #benzbuild #clk320 #GetMerced https://t.co/f0trpkmDnO,750465289817587712,Makin. MOVES,3DN1R,kay el aye || they commin for you next
76,"RT @Indialoveinc: We're all a little broken, but last time I checked. Broken crayons still color the same....I'm just sayN",750465289972744193,AAA,914Andrea,Future Vet
77,The Warriors still getting people they must really be worried about Lebron and the cavs😂😂,750465289876299776,B.davis♿️,davis_bradon,None
78,Congrats to Manny Machado who has been selected to the AL #ASG roster &amp; will represent your #Orioles in San Diego! https://t.co/FTCuKsRSMc,750465286646538240,Baltimore Orioles,Orioles,The Official Twitter of the Baltimore Orioles
79,"RT Baeless4ever: ""together forever"" ""best boyfriend ever"" ""luckiest girl in the world"" ""so in love"" https://t.co/xpNHz9wpsI
#SuperSulitAng…",750465289842810885,Diane Lastimosa,DianeEl01,JaDine is my butter. They're in my heart and stays there forever.
80,the ugliest girls keep popping up pregnant but boys always screaming how they only fw bad bitches🤔,750465289574313984,Sharnell❤️,pink_earmuffsss,"18 years young..... just a little too perfect, just a little too worth it."
81,RT @AllyBrooke: AWWWWW PAPA!!! I love you SO much and have enjoyed every minute with you. You are the BEST. Thank you for bringing so much…,750465289586868224,chylena,stockgrande,for your eyes only
82,"@DoctorLoveless1 @WillevaLindsey @PoliticsPeach @POTUS 
I hear the fix is in. But, is that American?",750465290291425280,Mary,MFL1956,"My husband left and took the drill-driver, but I replaced that tool."
83,Amo de maisssss essa música deveria ta em 1° https://t.co/w6T6Nx2gN9,750465289918287872,SemKokoro,haylorretards,Não estava no contrato de Kpop que eu iria sofrer.
